material anatomical entity that has inherent 3d shape and is generated by coordinated expression of the organism's own genome .
an amino - acid anion that has formula ch2no2 .
a t cell which regulates overall immune responses as well as the responses of other t cell subsets through direct cell - cell contact and cytokine release .
cd4 - positive ,  alpha - beta t cell with the phenotype rorgamma - t - positive that produces il - 17 .
a mature t cell that differentiated and acquired cytotoxic function with the phenotype perforin - positive and granzyme - b positive .
a differentiated t cell with the ability to traffic to peripheral tissues that has acquired helper or cytotoxic functions .
a effector t cell that provides help in the form of secreted cytokines to other immune cells .
a lymphocyte of b lineage is a lymphocyte that expresses cd19  ( p15391 / cd19_human ; pirsf016630 )  on the cell surface .
a cell of a hematopoietic lineage .
conventional dendritic cell is a leukocyte that has a high plasma membrane amount of cd11c and lacks plasma membrane part cd19 ,  cd3 ,  cd34 ,  and cd56 .
a karyotype is the number and appearance of chromosomes in the nucleus of a eukaryotic cell .
artificial watercourse with no flow or a controlled flow used for navigation ,  drainage or irrigation .
a lake whose water contains a considerable concentration of dissolved salts .
a body of water or other liquid of considerable size contained on a body of land .
a lake of whose water contains low concentrations of salts .
linear body of water flowing on the earth's surface .
a cylindrical hole ,  pit ,  or tunnel drilled or dug down to a depth from which water ,  oil ,  or gas can be pumped or brought to the surface .
a point where groundwater or steam flows out of the ground ,  and is thus where the aquifer surface meets the ground surface or where there is a fissure .
a flowing body of water .
a body of water ,  usually of smaller size than a lake .
a small artificial watercourse dug for draining or irrigating the land .
a sheet of saline water separated from the open sea by sand or shingle banks .
a tidal water channel .creeks may often dry to a muddy channel with little or no flow at low tide ,  but often with significant depth of water at high tide .
an area that is inundated or saturated by surface or ground water at a frequency and duration sufficient to support ,  and that under normal circumstances do support ,  a prevalence of vegetation typically adapted for life in saturated soil conditions .
a semi - enclosed coastal body of water with one or more rivers or streams flowing into it ,  and with a free connection to the open sea .
a marsh associated with water that contains low concentrations of salts .
an swamp formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics .
an island formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics .
a geographical feature modified by humans by the preparation of the land ,  usually for the purposes of growing crops .
an intentional planting of a crop ,  on a large scale ,  usually for uses other than cereal production or pasture .
a ditch that supplies water to surrounding land .
a ditch that collects water from the surrounding land .
an estuary whose river output is less than the marine input .
an estuary whose river output and marine input are more even ,  with river flow still dominant ;  turbulence induces more mixing of salt water upward than the reverse .
an estuary whose river output greatly exceeds marine input ;  there is little mixing ,  and thus a sharp contrast between fresh surface water and saline bottom water .
an estuary whose river output is less than the marine input .
an estuary located in regions with high evaporation ,  there is no freshwater input and in fact salinity increases inland ;  overall flow is inward at the surface ,  downwells at the inland terminus ,  and flows outward subsurface .
an estuary that varies dramatically depending on freshwater input ,  and is capable of changing from a wholly marine embayment to any of the other estuary types .
a wetland associated with the part of the land adjoining or near a sea or ocean .
a wetland found in upland areas ,  characterised by acidic soils .
a wetland that features permanent inundation of large areas of land by shallow bodies of water ,  generally with a substantial number of hummocks ,  or dry - land protrusions .
a level tract lying at a small depth below the surface of water ,  or alternately covered and left bare by the tide .
a wetland whose water that contains low concentrations of salts .
a paddy field for the cultivation of rice .
a fan - shaped deposit formed where a fast flowing stream flattens ,  slows ,  and spreads typically at the exit of a canyon onto a flatter plain .
the physical confine of a river ,  slough or ocean strait consisting of a bed and banks .
a submergent coastal landform that forms where sea levels rise relative to the land either as a result of eustatic sea level change ;  where the global sea levels rise or isostatic sea level change ;  where the land sinks .
an area of calm water unaffected by the current of a stream .
a pond ,  often temporary or seasonal ,  used as a drinking place by mammals and birds .
water that has been adversely affected in quality by anthropogenic influence .
undigested food residues and other discarded products of the midgut .
the liquid form of dihydrogen monoxide .
brackish water is water that has more salinity than fresh water ,  but not as much as seawater .
a habitat that is in or on an environmental feature or material derived from human activity .
a spatial region having environmental qualities which may sustain an organism or a community of organisms .
urine is a liquid excreta containing water and waste products made by the kidneys ,  stored in the bladder ,  and leaves the body through the urethra .
water saturated or nearly saturated with salt  ( nacl )  .
excreta are bodily fluids consisting of waste matter ,  such as sweat or feces ,  discharged from the body .
the production by an organism of new individuals that contain some portion of their genetic material inherited from that organism .
a chromosome found in the nucleus of a eukaryotic cell .
the process whose specific outcome is the progression of the larva over time ,  from its formation to the mature structure .
an immune response based on directed amplification of specific receptors for antigen produced through a somatic diversification process ,  and allowing for enhanced response to subsequent exposures to the same antigen  ( immunological memory )  .
any process that initiates an immune response .
a change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand ,  leading to the initiation or perpetuation of an immune response .
a change in the morphology or behavior of a plasmacytoid dendritic cell resulting from exposure to an activating factor such as a cellular or soluble ligand ,  leading to the initiation or perpetuation of an immune response .
a change in the morphology or behavior of a myeloid cell resulting from exposure to an activating factor such as a cellular or soluble ligand ,  leading to the initiation or perpetuation of an immune response .
the change in morphology and behavior of a myeloid dendritic cell resulting from exposure to a cytokine ,  chemokine ,  cellular ligand ,  or soluble factor ,  leading to the initiation or perpetuation of an immune response .
a change in the morphology or behavior of a macrophage resulting from exposure to a cytokine ,  chemokine ,  cellular ligand ,  or soluble factor ,  leading to the initiation or perpetuation of an immune response .
a change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen ,  mitogen ,  cytokine ,  chemokine ,  cellular ligand ,  or soluble factor ,  leading to the initiation or perpetuation of an immune response .
a change in the morphology and behavior of a mature or immature t cell resulting from exposure to a mitogen ,  cytokine ,  chemokine ,  cellular ligand ,  or an antigen for which it is specific ,  leading to the initiation or perpetuation of an immune response .
the change in morphology and behaviour of a mature or immature b cell during immune response ,  resulting from exposure to a mitogen ,  cytokine ,  chemokine ,  cellular ligand ,  or an antigen for which it is specific .
a change in the morphology and behaviour of a leukocyte resulting from exposure to a specific antigen ,  mitogen ,  cytokine ,  cellular ligand ,  or soluble factor ,  leading to the initiation or perpetuation of an immune response .
the appearance of cytokine due to biosynthesis or secretion following a cellular stimulus during an immune response ,  resulting in an increase in its intracellular or extracellular levels .
any process involved in the development or functioning of the immune system ,  an organismal system for calibrated responses to potential internal or invasive threats .
the appearance of immunoglobulin due to biosynthesis or secretion following a cellular stimulus during an immune response ,  resulting in an increase in its intracellular or extracellular levels .
the synthesis or release of any molecular mediator of the immune response following an immunological stimulus ,  resulting in an increase in its intracellular or extracellular levels .
the process by which a b cell expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
the process by which a t cell expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
the process by which a dendritic cell expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
the process by which a macrophage expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
the process by which a non - professional antigen presenting cell expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
a phase of elevated metabolic activity ,  during which oxygen consumption increases made as a defense response ;  this leads to the production ,  by an nadh dependent system ,  of hydrogen peroxide  ( h2o2 )  ,  superoxide anions and hydroxyl radicals .
antigen processing and presentation which is initiated by uptake of antigen via phagocytosis .
antigen processing and presentation which is initiated by phagocytosis of antigen bound directly or indirectly to a cell surface toll - like receptor  ( tlr )  .
the part of a cell or its extracellular environment in which a gene product is located .
a structure composed of a very long molecule of dna and associated proteins  ( e .g .
the chemical reactions and pathways involving various organic and inorganic nitrogenous compounds ;  includes nitrogen fixation ,  nitrification ,  denitrification ,  assimilatory / dissimilatory nitrate reduction and the interconversion of nitrogenous organic matter and ammonium .
the chemical reactions and pathways resulting in the formation of nitric oxide ,  nitrogen monoxide  ( no )  ,  a colorless gas only slightly soluble in water .
a type of vesicle - mediated transport in which cells take up external materials or membrane constituents by the invagination of small region of the plasma membrane to form a new membrane - bounded vesicle .
an endocytosis process in which cell surface receptors ensure specificity of transport .
the process whereby phagocytes engulf external particulate material .
a process that directly activates any of the steps required for cell death by apoptosis .
a process in which force is generated within muscle tissue ,  resulting in a change in muscle geometry .
any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat .
any process involved in the activation of any of the steps of the complement cascade ,  which allows for the direct killing of microbes ,  the disposal of immune complexes ,  and the regulation of other immune processes ;  the initial steps of complement activation involve one of three pathways ,  the classical pathway ,  the alternative pathway ,  and the lectin pathway ,  all of which lead to the terminal complement pathway .
any process involved in the activation of any of the steps of the alternative pathway of the complement cascade which allows for the direct killing of microbes and the regulation of other immune processes .
any process involved in the activation of any of the steps of the classical pathway of the complement cascade which allows for the direct killing of microbes ,  the disposal of immune complexes ,  and the regulation of other immune processes .
an immune response mediated through a body fluid .
the production of yolk .yolk is a mixture of materials used for embryonic nutrition .
the introduction of semen or sperm into the genital tract of a female .
a biological process in which an animal physically develops after birth or hatching ,  involving a conspicuous and relatively abrupt change in the animal's form or structure .
the breakdown of tissues ;  usually ,  if not always ,  accompanied by cell death ,  followed by the complete dissolution of dead tissue .
the elimination by an organism of the waste products that arise as a result of metabolic activity .
the series of events required for an organism to receive a sensory stimulus ,  convert it to a molecular signal ,  and recognize and characterize the signal .
the series of events required for an organism to receive a visual stimulus ,  convert it to a molecular signal ,  and recognize and characterize the signal .
the series of events required for an organism to receive an auditory stimulus ,  convert it to a molecular signal ,  and recognize and characterize the signal .
the process by which a cell in a multicellular organism interprets its surroundings .
any process specifically pertinent to the functioning of integrated living units: cells ,  tissues ,  organs ,  and organisms .
the specific activation or halting process within a cell so that its vital functions markedly cease ,  rather than simply deteriorating gradually over time ,  which culminates in cell death .
the process by which a microorganism  ( or other particulate material )  is rendered more susceptible to phagocytosis by coating with an opsonin ,  a blood serum protein such as a complement component or antibody .
the chemical reactions and pathways resulting in the breakdown of substances ,  including the breakdown of carbon compounds with the liberation of energy for use by the cell or organism .
the hydrolysis of lipids of mosquitoes' meals by specific enzymes .
the chemical reactions and pathways resulting in the breakdown of carbohydrates ,  any of a group of organic compounds based of the general formula cx ( h2o ) y .
an immunoglobulin complex that is present in the plasma membrane of b cells and that in its canonical form is composed of two identical immunoglobulin heavy chains and two identical immunoglobulin light chains and a signaling subunit ,  a heterodimer of the ig - alpha and ig - beta proteins .
the process by which an antigen - presenting cell expresses antigen  ( peptide or lipid )  on its cell surface in association with an mhc protein complex .
the process by which an antigen - presenting cell expresses antigen  ( peptide or lipid )  of endogenous origin on its cell surface in association with an mhc protein complex .
the process by which an antigen - presenting cell expresses antigen  ( peptide or lipid )  of exogenous origin on its cell surface in association with an mhc protein complex .
the binding of parasite infected erythrocytes to uninfected erythrocytes .
any process involved in the biological strategy of changing antigenic determinants on the surface that are exposed to another organism's immune system .
any process that modulates the frequency ,  rate or extent of endocytosis .
the breakdown into simpler components of a protein .
the expulsion of feces from the rectum .
a biological process whose specific outcome is the progression of an integrated living unit: a cell ,  tissue ,  organ ,  or organism over time from an initial condition to a later condition .
the appearance of interferon - gamma due to biosynthesis or secretion following a cellular stimulus ,  resulting in an increase in its intracellular or extracellular levels .
a protein complex composed of a subunit or subunits capable of binding the fc portion of an immunoglobulin with additional signaling components .
a protein complex composed of an fc - gamma ri alpha chain and an fc - epsilon ri gamma chain dimer with or without additional signaling components .
the blackening of the wounded area of the cuticle or the surface of invading pathogens ,  parasites or parasitoids ,  resulting from a proteolytic cascade leading to the de novo synthesis and deposition of melanin .
the increase in size or mass of an entire organism ,  a part of an organism or a cell .
self - propelled movement of a cell or organism from one location to another .
a t cell receptor complex in which the tcr heterodimer comprises alpha and beta chains ,  associated with the cd3 complex ;  recognizes a complex consisting of an antigen - derived peptide bound to a class i or class ii mhc protein .
the gamma - delta t cell receptor is a heterodimer consisting of one gamma and one delta chain .a t cell receptor complex in which the tcr heterodimer comprises gamma and delta chains ,  associated with the cd3 complex ;  recognizes antigen directly ,  without a requirement for processing and presentation by an mhc protein .
a change in state or activity of a cell or an organism  ( in terms of movement ,  secretion ,  enzyme production ,  gene expression ,  etc . ) 
the chemical reactions and pathways involving pigment ,  any general or particular coloring matter in living organisms ,  e .g .
the movement of a cell or organism in response to a stimulus in which the speed or frequency of movement is increased or decreased .
the movement of a cell or organism in response to a stimulus in which the frequency or magnitude of turning behavior is altered .
organized structure of distinctive morphology and function .
the regulated exocytosis of secretory granules by a leukocyte .
the regulated exocytosis of secretory granules containing preformed mediators such as perforin and granzymes by a natural killer cell .
the regulation is done by pumping air by opening and closing spiracles .
innate immune responses are defense responses mediated by germ line encoded components that directly recognize components of potential pathogens .
a phase of elevated metabolic activity ,  during which oxygen consumption increases ,  that occurs in neutrophils ,  monocytes ,  and macrophages shortly after phagocytosing material .
the chemical reactions and pathways involving nitric oxide ,  nitrogen monoxide  ( no )  ,  a colorless gas only slightly soluble in water .
the regulated release of saliva from the salivary glands .
any process pertinent to the generation and maintenance of rhythms in the physiology of an organism .
any process that stops ,  prevents or reduces the frequency ,  rate or extent of phagocytosis .
any process that modulates the frequency ,  rate or extent of a biological process .
a change in state or activity of a cell or an organism  ( in terms of movement ,  secretion ,  enzyme production ,  gene expression ,  etc . ) 
any process by which an organism has an effect on another organism of the same or different species .
self - propelled movement of an organism from one location to another through the air ,  usually by means of active wing movement .
eye ,  head or whole body movements that help to compensate movements of the environment in order to stabilize its image on the retina .
a data item is an information content entity that is intended to be a truthful statement about something  ( modulo ,  e .g . ,  measurement precision or other systematic errors )  and is constructed / acquired by a method which reliably tends to produce  ( approximately )  truthful statements .
an information content entity is an entity that is generically dependent on some artifact and stands in relation of aboutness to some entity .
a measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device .
an organism bearing a host role .
a disease whose physical basis is an infection .
a protective resistance that mitigates the damaging effects of a drug .
a disposition to initiate processes that result in a disorder .
a quality that inheres in an infectious agent and is the degree to which realizations of the infectious disease caused by the infectious agent become severe or fatal .
a quality that inheres in an entity and is the degree to which it can be harmed by another entity of a certain type .
a quality that inheres in an organism population and is the number of organisms in the population that become infected with an infectious agent during a specified period of time .
the number of organisms in the population infected with an infectious agent at a specified time .
a protein that is produced by a pathogen .
an enzyme that catalyzes the chemical reaction of a carboxylic ester  +  h2o wich equals to  an alcohol  +  a carboxylate .
gsts catalyse the conjugation of reduced glutathione  -  via a sulfhydryl group  -  to electrophilic centers on a wide variety of substrates .
inspection of randomly selected houses for the presence of containers holding water ,  and each detected container was sampled to extract and count the number of pupae present .
inspection and measurement of randomly left oviposition traps for the presence of larvae .
the collection of data relating to the entomology of the disease ,  to be processed and used for the survey of the state of the disease in a given area .
a dependent continuant that is exhibited if it inheres in an entity or entities at all  ( a categorical property )  .
any host process involved in the development or functioning of the immune system , an organismal system of calibrated responses to potential internal or invasive threats .
any host immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat .
the ability to spread from one person or species to another .
the ability of a pathogen to lie dormant .
the act that reduces the activation or efficacy of the immune system due to therapy with immunosuppressant drugs .
the pathogen is not normally present in the host body ,  but have gained entrance from the environment .
the quality of being immune .
an 8 - aminoquinoline antimalarial drug .
is a integral membrane protein found on the surface of various cells .
mortality rate is a measure of the number of deaths due to malaria in some population ,  scaled to the size of that population ,  per unit time .
the fiat process part occuring in a malaria host .
the number of malaria cases existing in a given population at any given time .
the administration of antigenic material from malaria pathogen to produce immunity to malaria .
an immune response involving a change in the state or activity of a cell in response to stimulus .
a disease that can be transmitted from animals to people .
the condition of a vertebrate host unable to develop a normal immune response usually because of malnutrition or immunosuppressive therapy or disease or other reasons .
rts , s / as02 ( a )  is a pre - erythrocytic vaccine candidate based on plasmodium falciparum circumsporozoite protein  ( csp )  .
a resistance to drug that mitigates the damaging effects of an antibiotic .
the quality of forms of malaria that are different from the epidemiological point of view .
the ability to enter into a living body .
the pathogen is normally present in the host body .
a toll - like receptor that is a translation product of the tlr2 gene .
the term morbidity refers to either the incidence rate ,  or the prevalence of malaria .
a toll - like receptor that is a translation product of the tlr9 gene .
scavenger receptors recognize modified low - density lipoprotein  ( ldl )  by oxidation or acetylation ,  as well as other various ligands .
fmp2 .1 / as02 ( a )  is a recombinant e . coli - expressed protein based upon the apical membrane antigen - 1  ( ama - 1 )  of the 3d7 clone formulated with the as02a adjuvant .
an immune response against parasites mediated through a body fluid .
a virulence factor is a molecule produced by a pathogen that specifically causes disease ,  or that influences the host's function to allow the pathogen to thrive .
an enzyme that degrades hyaluronic acid ,  found in lysosomes .
a toxin is a poisonous substance produced by living cells or organisms .
a toxin that is associated with certain bacteria .
an exotoxin is a toxin excreted by a microrganism ,  including bacteria ,  fungi ,  algae ,  and protozoa .
the therapeutic process for malaria .
a procedure used for the diagnosis of malaria ,  including the precise pathogen causing the disease .
the use of antimalarial drugs to kill plasmodium parasites and ,  therefore ,  cure malaria .
therapeutic measures taken ,  in addition to chemotherapy ,  to improve the condition of ,  and cure a malaria patient .
a class of alkaloids originally extracted from the bark of the cinchona tree .
a factor mediating colonization .
